Titre, 
Date, 2022-08-18 17:01:20.171706
Nom, 
Materiau, 
Charge de rupture, 0.0
Longueur de l'éprouvette, 0.0
Capteur de déplacement, Détecteur ultrasonique
  référence, UC_2000_L2_U_V15
Capteur de charge, Indicateur pour signal analogique
  référence, INDI_PAXS
Méthode d'accroche, Goupilles

t(s), Consigne(transformee), sortie_charge, sortie_charge_transformée, Charge(tonnes), sortie_deplacement
0.0, 0.014493987808385981, 0.0005055533256381751.9600000000000013, 0.9929659237195956, -0.0006988662253568582
